book,author,year,publisher
"A Place Called Freedom","Ken Follett","0","Humanity Press/prometheus Bk"
"City of Joy","Dominique Lapierre","1986","Not Avail"
"A Recipe for Bees","Gail Anderson-Dargatz","2001","Anchor Books/Doubleday"
"Day Dreamer","Jill Marie Landis","1996","Jove Books"
"Finding the Love of Your Life: Ten Principles for Choosing the Right Marriage Partner","Neil Warren","1998","Focus on the Family Publishing"
"Blind Assassin","Margaret Atwood","2001","Sagebrush Bound"
"When I Say No, I Feel Guilty","Manuel J. Smith","1975","Bantam"
"The Highly Sensitive Person: How to Thrive When the World Overwhelms You","Elaine Aron","1997","Broadway Books"
"The Giving Tree","Shel Silverstein","1964","HarperCollins"
"Lasher","Anne Rice","1993","Alfred A. Knopf"
"Galileo\'s Daughter: A Historical Memoir of Science, Faith, and Love","Dava Sobel","2000","Penguin Books"
"In Retrospect: The Tragedy and Lessons of Vietnam","Brian VanDeMark","1996","Vintage Books USA"
"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic","Martha Beck","2000","Berkley Publishing Group"
"You Can\'t Keep a Good Woman Down","Alice Walker","1982","Harvest Books"
"Confessions of a Failed Southern Lady","Florence King","1985","St Martins Pr"
"Drawing on the Right Side of the Brain: A Course in Enhancing Creativity and Artistic Confidence","Betty Edwards","1989","Putnam Pub Group"
"The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography","Simon Singh","2000","Anchor Books/Doubleday"
"Tout le monde fait l\'amour","Pascale Clark","2003","Le Livre De Poche"
"A Game of Spies","John Altman","2002","Putnam Publishing Group"
"Fall from Grace","Larry Collins","1986","Signet Book"
"Now All We Need Is a Title: Famous Book Titles and How They Got That Way","Andre Bernard","1995","W W Norton &amp; Co Inc"
"Hidden World of Birthdays","Judith Turner","0","Simon Shuster"
"Under Pressure","Abigail Reed","2000","Forge"
"Wanderlust","Danielle Steel","1986","Delacorte Press"
"Third Deadly Sin","Lawrence Sanders","1985","Penguin Putnam~mass"
"The Outermost House: A Year of Life on the Great Beach of Cape Cod","Henry Beston","1992","Owl Books (NY)"
"No Comebacks","Frederick Forsyth","1983","Bantam Books"
"Lieberman\'s Day","Stuart M. Kaminsky","1994","Fawcett Books"
"The Stone Raft","Giovanni Pontiero","1995","Harcourt Brace"
"Picture Perfect","Jodi Picoult","1995","Putnam Pub Group"
"Myths to Live by","Joseph Campbell","1984","Bantam Books"
"I Spy Mystery:  A Book of Picture Riddles","Jean Marzollo","1993","Cartwheel Books"
"The Doll in the Garden","Mary Downing Hahn","1990","HarperTrophy"
"Naughty Marietta","Nan Ryan","2003","Mira Books"
"Thirty-nothing","Lisa Jewell","2004","Penguin Books Ltd"
"Don\'t You Dare Read This, Mrs. Dunphrey","Margaret Peterson Haddix","1996","Simon &amp; Schuster Children\'s Publishing"
"Hungry As the Sea","Wilbur Smith","0","Pan Books Ltd"
"Yukon Ho!","Bill Watterson","1989","Andrews McMeel Publishing"
"Forget Me Knots: From the Front Porch","Helen Kay Polaski","2002","Obadiah Press"
"Your Erroneous Zones","Wayne W. Dyer","1976","Harpercollins"
"Observatory Mansions","Edward Carey","2001","Crown Publishing Group (NY)"
"Under the Beetle\'s Cellar","Mary Willis Walker","1996","Bantam Books"
"Here Be Dragons","Sharon Kay Penman","1987","Harper Mass Market Paperbacks (Mm)"
"Mere Christianity","C. S. Lewis","1985","Barbour Publishing"
"Strip City: A Stripper\'s Farewell Journey Across America","Lily Burana","2001","Miramax"
"Popcorn: Hollywood Stories","Julia Cameron","2000","Really Great Books"
"On My Own at 107: Reflections on Life Without Bessie","Sarah Louise Delany","1997","Harpercollins"
"Das Labyrinth. Total Control.","David Baldacci","1999","LÃ?Â¼bbe"
"Parallel Myths","J. F. Bierlein","1994","Ballantine Books"
"Starship Titanic","Douglas Adams","2001","J\'ai lu"
"Villains Victorious","Martin Harry Greenberg","2001","Daw Books"
"Once upon a Star","Nora Roberts","1999","Jove Books"
"Phantom Waltz","Catherine Anderson","2001","Onyx Books"
"The Matarese Countdown","Robert Ludlum","1997","Bantam"
"Autobiography of a People: Three Centuries of African American History Told by Those Who Lived It","Herb Boyd","2000","Doubleday Books"
"The Gift of Jazzy","Cindy Adams","2003","St. Martin\'s Press"
"Complete Book of Magic and Witchcraft","Kathryn Paulsen","1989","Signet Book"
"3rd Degree","James Patterson","2004","Little, Brown"
"Living With the Dead: Twenty Years on the Bus With Garcia and the Grateful Dead","Rock Scully","1997","Little Brown &amp; Co"
"House of the Seven Gables","Nathaniel Hawthorne","1961","Signet Book"
"Rey De Los Pleitos","John Grisham","2003","Ediciones B"
"Where\'s My Hero?","Lisa Kleypas","2003","Avon Books"
"Cry for the Strangers","John Saul","0","Bantam Doubleday Dell"
"Life Sentences","Elizabeth Forsythe Hailey","1987","Dell Publishing Company"
"What If?: Military Historians Imagine What Might Have Been","Robert Cowley","2001","Pan Macmillan"
"L\'Attrape-Coeurs","J. D. Salinger","1994","Pocket (FR)"
"Take Time for Your Life: A Personal Coach\'s Seven-Step Program for Creating the Life You Want","Cheryl Richardson","1999","Broadway Books"
"Dreamscapes: Waiting for the Wolf Moon","Evelyn Vaughn","2002","Silhouette"
"Keeper of the House","Rebecca T. Godwin","1995","St. Martin\'s Griffin"
"Fame and Fortune","Kate Coscarelli","1985","Signet Book"
"JavaScript for the World Wide Web: Visual QuickStart Guide, Second Edition","Tom Negrino","1997","Addison-Wesley Pub Co"
"Good in Bed","Jennifer Weiner","2001","Atria"
"The Dead Zone","Stephen King","2004","Signet Book"
"Stonehenge: 2000 B.C.","Bernard Cornwell","2000","HarperCollins Publishers"
"Blood Test","Jonathan Kellerman","1987","Signet Book"
"Daniel Martin","John Fowles","0","Penguin Putnam~mass"
"Madame Mao.","Anchee Min","2003","Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
"And The Angels Were Silent","Max Lucado","1995","Multnomah"
"Singing My Him Song","Malachy McCourt","2000","HarperCollins Publishers"
"The Last Silk Dress","Ann Rinaldi","1990","Starfire"
"Black Hawk Down: A Story of Modern War","Mark Bowden","2000","Penguin Books"
"The Hand That Rocks the Cradle","Robert Tine","1992","New Amer Library (Mm)"
"Paingod and Other Delusions","Harlan Ellison","1999","eReads.com"
"Hope for the Flowers","Trina Paulus","1973","Paulist Press"
"Mesmerized","Gayle Lynds","2001","Atria"
"Lady Oracle","Margaret Atwood","0","Trafalgar Square"
"Awakenings","Oliver W. Sacks","1999","Vintage Books USA"
"October Light","John Gardner","1986","Vintage Books USA"
"Death and the Dancing Footman","Ngaio Marsh","1995","Berkley Publishing Group"
"The Toddler\'s Busy Book","Trish Kuffner","2001","Meadowbrook Press"
"Weekend in Paris","Robyn Sisman","2004","Plume Books"
"Whatever Love Means","David Baddiel","2000","Abacus"
"Der Medicus von Saragossa.","Noah Gordon","2001","Goldmann"
"Der Mann, der\'s wert ist.","Eva Heller","1994","Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
"Real Boys: Rescuing Our Sons from the Myths of Boyhood","William Pollack","1998","Random House"
"The Waterworks","E. L. Doctorow","1997","Plume Books"
"You\'ll Never Make Love in This Town Again","Jennie Louise Frankel","1996","Audio Literature"
"Midnight Bayou","Nora Roberts","2004","Jove Books"
"The Rape of Nanking: The Forgotten Holocaust of World War II","Iris Chang","1998","Penguin Books"
"Der Besuch Der Alten Dame","Friedric Durrenmatt","0","Diogenes"
"Excuse Me, Your Life Is Waiting: The Astonishing Power of Feelings","Lynn Grabhorn","2003","Hampton Roads Publishing Company"
"The Silent Cradle","Margaret Cuthbert","1999","Pocket"
"Chronique d\'un ete","Patrick Gale","2002","Belfond"
"Down and Out in the Magic Kingdom","Cory Doctorow","2003","Tor Books"
"The Last American Man","Elizabeth Gilbert","2003","Penguin Books"
"Beezus and Ramona","Cleary","1979","Bantam Doubleday Dell"
"13th Gen: Abort, Retry, Ignore, Fail?","Neil Howe","1993","Vintage Books USA"
"Dangerous to Know","Barbara Taylor Bradford","1996","HarperTorch"
"Mr Vertigo","Paul Auster","1995","Actes Sud"
"Southern Discomfort","Rita Mae Brown","1983","Bantam Books"
"Shadows over Innsmouth","Stephen Jones","2001","Del Rey Books"
"All Tomorrow\'s Parties","William Gibson","2000","Ace Books"
"The Lost Daughters of China: Abandoned Girls, Their Journey to America, and the Search for a Missing Past","Karin Evans","2001","Jeremy P. Tarcher"
"Dazzled","Catherine Hart","1994","Avon Books"
"Fortress in the Eye of Time","C. J. Cherryh","1995","Harpercollins"
"Motion to Kill","Joel Goldman","2002","Pinnacle Books"
"Swordspoint","Ellen Kushner","2003","Spectra Books"
"Perfect Victim","Christine McGuire","1989","Dell Publishing Company"
"The Vision of Emma Blau","Ursula Hegi","2000","Simon &amp; Schuster"
"Barchester Towers","Anthony Trollope","1982","Penguin Books Ltd"
"The Daughters of Cain","Colin Dexter","1995","Random House Inc"
"A Child Is Born","Lennart Nilsson","1990","Delacorte Press"
"Chains of Command","William J. Caunitz","2000","Onyx Books"
"Bride Of The Far Side","Gary Larson","1985","Andrews McMeel Publishing"
"Homeplace","Anne Rivers Siddons","1996","HarperTorch"
"Prince of Tides","Pat Conroy","0","Bantam Doubleday Dell"
"Beautiful Child","Torey Hayden","2003","Avon Books"
"Peachtree Road","Anne Rivers Siddons","1989","Random House Trade"
"Tides of the Heart","Jean Stone","1999","Bantam Books"
"Cry Dance","Kirk Mitchell","2000","Bantam Books"
"True Justice","Robert K. Tanenbaum","2000","Atria Books"
"Safety of Objects","A. M. Homes","2003","Perennial"
"Sins of the Fathers","Will Cunningham","1997","Thomas Nelson Inc"
"The Teeth of the Tiger","Tom Clancy","2003","G. P. Putnam\'s Sons"
"Best Short Stories of the Modern Age","Douglas Angus","1990","Fawcett Books"
"Leap of Faith","Danielle Steel","2001","Delacorte Press"
"Factoring Humanity","Robert J. Sawyer","1999","Tor Science Fiction"
"The Good Children","Kate Wilhelm","1999","Fawcett Books"
"My Lady Notorious","Jo Beverley","2002","Signet Book"
"Pastoralia: Stories","George Saunders","2000","Riverhead Books"
"The Dead Zone","Stephen King","1999","Sagebrush Bound"
"Snakebite Survivors Club","Jeremy Seal","0","Pan Books Ltd"
"The Eagle and the Rose: A Remarkable True Story","Rosemary Altea","1995","Warner Books Inc"
"Private Screening","Richard North Patterson","1994","Ballantine Books"
"Viejo Y El Mar","E. Hemingway","1996","Giron Spanish Books Distributors"
"Hot Property","Zoe Barnes","1999","Judy Piatkus Publishers Ltd"
"Saints Rest","Thomas Gifford","1996","Bantam"
"Paint It Black","P. J. Parrish","2002","Pinnacle Books"
"When Darkness Falls","Tanith Lee","2003","Silhouette"
"Oranges Are Not the Only Fruit","Jeanette Winterson","1997","Grove Press"
"American Short Story Masterpieces","Raymond Carver","1989","Laurel"
"Letters to Baby: A Keepsake of Blessings and Wisdom for New Babies","Chaz Corzine","1997","Broadman &amp; Holman Publishers"
"The Lorax","Dr. Seuss","1971","Random House Children\'s Books"
"Undue Influence","Steve Martini","1994","Simon &amp; Schuster Audio"
"Excellent Women","Barbara Pym","0","Harpercollins Publisher"
"The Thin Woman","Dorothy Cannell","1984","St Martins Pr"
"Balzac and the Little Chinese Seamstress","Dai Sijie","2001","Alfred A. Knopf"
"Ceux qui vont mourir te saluent","Fred Vargas","2001","J\'ai lu"
"Good Intentions","Joy Fielding","1997","Onyx Books"
"Silk and Shadows","Mary Jo Putney","1991","Onyx Books"
"Zero Option","Peter T. Deutermann","1999","Hambledon &amp; London"
"Inadmissible Evidence","Philip Friedman","1993","Ivy Books"
"Tenderness","Dorothy Garlock","1993","Warner Books"
"Grand Central Winter","Lee Stringer","1999","Washington Square Press"
"Long John Silver: The True and Eventful History of My Life of Liberty and Adventure As a Gentleman of Fortune and Enemy to Mankind","Bjorn Larsson","2000","Harvill Press"
"Mars Crossing","Geoffrey A. Landis","2001","Tor Science Fiction"
"Der Gott der kleinen Dinge.","Arundhati Roy","1999","btb"
"Being Dead","Jim Crace","2000","Farrar Straus Giroux"
"Tilting at Windmills","Joseph Pittman","2001","Atria"
"Pants on Fire","Maggie Alderson","2001","Penguin Books Ltd"
"Freedom\'s Landing","Anne McCaffrey","1995","Putnam Pub Group"
"The Silken Web","Sandra Brown","1992","Warner Books Inc"
"The River\'s Gift","Mercedes Lackey","1999","Roc"
"The Physics of Star Trek","Lawrence M. Krauss","1995","Harper Audio"
"What the Corpse Revealed: Murder and the Science of Forensic Detection","Hugh Miller","2000","St. Martin\'s True Crime Classics"
"Not the End of the World","Christopher Brookmyre","2002","Grove Press"
"Im Krebsgang: Eine Novelle","Ingrid Dennerlein","2002","Steidl Publishing"
"Critical Space","Greg Rucka","2003","Bantam Books"
"The Proper Care and Feeding of Husbands","Laura Schlessinger","2003","HarperCollins"
"The Other Woman","Joy Fielding","1993","Signet Book"
"The Price of Pleasure","Joanna Wylde","2002","Ellora\'s Cave"
"Host Family","Mameve Medwed","2001","Warner Books"
"Importance of Being Earnest","Oscar Wilde","1959","Barrons Educational Series Inc"
"J. K. Rowling: The Wizard Behind Harry Potter","Marc Shapiro","2000","St. Martin\'s Press"
"Strangers on a Train","Patricia Highsmith","2000","Isis Audio Books"
"The Tenth Commandment","Lawrence Sanders","1994","Berkley Publishing Group"
"Blood Junction","Caroline Carver","2003","Warner Books"
"The Other Twin","Katherine Stone","2003","Mira Books"
"About Face","Fern Michaels","2003","Zebra Books"
"Ausweitung der Kampfzone.","Michel Houellebecq","2000","Rowohlt Tb."
"Educating Esme: Diary of a Teacher\'s First Year","Esme Raji Codell","2001","Algonquin Books of Chapel Hill"
"Wedding Party","Robyn Carr","2001","Mira"
"The Intuitionist","Colson Whitehead","1999","Anchor Books/Doubleday"
"Last Man Standing","David Baldacci","2001","Warner Books"
"Midnight Bayou","Nora Roberts","2001","Putnam Publishing Group"
"Stopping by Woods on a Snowy Evening","Robert Frost","1978","Dutton Books"
"The Simple Truth","David Baldacci","1998","Time Warner Audio Major"
"The Road to Oz","L. Frank Baum","2003","Ann Arbor Media Group"
"Beauty and the Beast: And Other Classic French Fairy Tales","Jack David Zipes","1997","Signet Classics"
"Silent Wishes","Fiona Hood-Stewart","2003","Mira"
"Lip Service","Russell Lucas","1992","Simon &amp; Schuster"
"LA Clan De L\'Ours Des Cavernes","Jean Auel","2002","Distribooks Intl"
"Blanche Cleans Up","Barbara Neely","1999","Penguin Books"
"The Secret Agent","Joseph Conrad","1992","Penguin Books Ltd"
"The Jesus Incident","Frank Herbert","1983","Berkley Publishing Group"
"Calypso Magic","Catherine Coulter","1988","Onyx Books"
"The Arrivals","Naomi Gladish Smith","2004","Chrysalis Books"
"Mrs. Pollifax on the China Station","Dorothy Gilman","1984","Fawcett Books"
"Geek Love","Katherine Dunn","2002","Vintage Books USA"
"Death Cruise","Donald A. Davis","1996","St. Martin\'s True Crime"
"Time Pressure","Spider Robinson","1990","Ace Books"
"The Treasure Box","Penelope J. Stokes","2001","Word Publishing"
"Still Life with Woodpecker","Tom Robbins","1981","Bantam Books"
"A Dry Spell","Susie Moloney","1997","Bantam Dell Pub Group"
"Goodbye Without Leaving","Laurie Colwin","1990","Simon &amp; Schuster"
"The Polished Hoe","Austin Clarke","2002","Thomas Allen &amp; Son"
"America in Prophecy","Ellen Gould Harmon White","1998","Inspiration Books East, Inc."
"How Stella Got Her Groove Back","Terry McMillan","1998","Signet Book"
"Die for Love","Elizabeth Peters","2002","Avon"
"The Persian Pickle Club","Sandra Dallas","1995","St Martins Pr"
"Citizen Coors: An American Dynasty","Dan Baum","2000","William Morrow &amp; Company"
"In Our Time","Tom James Wolfe","1987","Farrar Straus Giroux"
"Dark Love","Nancy A. Collins","1995","New Amer Library"
"Darkness, Tell Us","Richard Laymon","2003","Leisure Books"
"Canadian Rockies Superguide","Falcon Press","1991","Falcon Press Publishing Co."
"When the Wind Blows","Cyril Hare","1978","HarperCollins (paper)"
"Sarah\'s Window","Janice Graham","2001","Putnam Adult"
"The Diary of a Teenage Health Freak","Aidan, MacFarlane","1987","Oxford Univ Pr"
"\'Salem\'s Lot","Stephen King","1990","Signet Book"
"The Sims Vacation: Expansion Pack: Prima\'s Official Strategy Guide","David Chong","2002","Prima Games"
"Define ""Normal""","Julie Anne Peters","2000","Megan Tingley"
"Schloss Gripsholm","Kurt Tucholsky","0","Distribooks Int\'l+inc"
"The Eternal Champion","Michael Moorcock","1987","Berkley Pub Group"
"A Walk Across France","Miles Morland","1994","Ballantine Books"
"True Women","Janice Woods Windle","1994","Putnam Pub Group"
"Beyond Suspicion","James Grippando","2003","HarperTorch"
"In Patagonia","Bruce Chatwin","1977","Summit Books"
"We the Living","Ayn Rand","1991","New Amer Library"
"Married to Murder","Robert Scott","2004","Pinnacle Books"
"Miguel Street","V. S. Naipaul","1993","Penguin Books"
"Starship Troopers","Robert Heinlein","1999","Sagebrush Bound"
"Marx for Beginners","Rius","2003","Pantheon Books"
"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O\'Neill","Ron Suskind","2004","Simon &amp; Schuster"
"The Owl Service","Alan Garner","1999","Magic Carpet Books"
"Gute Knochen.","Margaret Atwood","1997","Btb Bei Goldmann"
"All Fall Down","Zachary Fox","1997","Pinnacle Books"
"Bare: On Women, Dancing, Sex, and Power","Elisabeth Eaves","2002","Alfred A. Knopf"
"Dork of Cork","Chet Raymo","1994","Warner Books"
"Once Minutos","Paulo Coelho","2003","Rayo"
"A Medicine for Melancholy and Other Stories","Ray Bradbury","1998","Perennial"
"Der Ruf der Trommel.","Diana Gabaldon","2003","Goldmann"
"The sound and the fury: The corrected text","William Faulkner","1987","Vintage Books"
"The Way I Found Her","Rose Tremain","1999","Washington Square Press"
"With All Disrespect: More Uncivil Liberties","Calvin Trillin","1986","Penguin USA"
"Just Like Jesus","Max Lucado","1998","W Publishing Group"
"Violent Ward","Len Deighton","1993","Harpercollins"
"Gli Indifferenti","Alberto Moravia","1997","Distribooks"
"The Soul\'s Code: In Search of Character and Calling","James Hillman","1996","Random House Inc"
"A Darkness More Than Night","Michael Connelly","2001","Time Warner Audio Major"
"Whats Bred In the Bone","Robertson Davies","1988","Penguin Putnam~trade"
"Chiefs","Stuart Woods","1999","Avon"
"Staying Fat for Sarah Byrnes","Chris Crutcher","1993","Greenwillow"
"Living Buddha, Living Christ","Thich Nhat Hanh","1995","Riverhead Books"
"Wish You Well","David Baldacci","2000","Warner Books"
"Las Uvas De LA Ira","John Steinbeck","2002","Penguin Books"
"LA Porte Etroite","Andre Gide","1999","Distribooks Inc"
"Racing Moon","Cassie Edwards","2003","Signet Book"
"After Twilight","Dee Davis","2001","Ivy Books"
"The Edge of Heaven","Teresa Hill","2002","Onyx Books"
"A Great Day for the Deadly","Jane Haddam","1992","Bantam Books"
"Howl\'s Moving Castle","Diana Wynne Jones","2001","Greenwillow"
"Private Pleasures","Lawrence Sanders","1994","Berkley Publishing Group"
"Alexander and the Wind-Up Mouse","Leo Lionni","1989","Scholastic Paperbacks (Mm)"
"No Offense Intended","Barbara Seranella","1999","Harpercollins"
"Passion Play","Conal Creedon","1999","Dufour Editions"
"Manner of Death","Stephen White","2000","Signet Book"
"Rickshaw: The Novel Lo-t\'o Hsiang Tzu","She Lao","1979","University of Hawaii Press"
"Message from Nam","Danielle Steel","1991","Dell"
"The Waiting Game","Bernice Rubens","1997","Little Brown and Company"
"Rachel im Wunderland.","Marian Keyes","2000","Heyne"
"When the Laird Returns: Book Two of The Highland Lords","Karen Ranney","2002","Avon"
"Pour Your Heart into It: How Starbucks Built a Company One Cup at a Time","Howard Schultz","1997","Hyperion Books"
"The Mini Zen Gardening Kit","Abd Al-Hayy Moore","2000","Running Press Book Publishers"
"Dr. Atkins\' Quick and Easy New Diet Cookbook","Robert C. Atkins","1997","Fireside"
"Number the Stars","Lois Lowry","1996","Laurel-Leaf Books"
"The Antipope","Robert Rankin","1992","Bantam Pr Ltd"
"Burning Bright","Melissa Scott","1994","Tor Books"
"Mother of Storms","John Barnes","1994","St Martins Pr"
"Trial by Fire","Frances Fyfield","1991","Mandarin"
"The Immortal Class: Bike Messengers and the Cult of Human Power","Travis Hugh Culley","2001","Villard Books"
"Unnatural Causes","P. D. James","1987","Not Avail"
"Born for Love: Reflections on Loving","Leo Buscaglia","1992","Slack"
"The Empress File","John Sandford","2001","Berkley Publishing Group"
"Little Green Men","Christopher Buckley","2002","Intl Pub Marketing"
"The Sound of Waves","Yukio Mishima","1994","Vintage Books USA"
"To Be the Best","Barbara Taylor Bradford","1992","Bantam Books"
"The Art of Deception","Ridley Pearson","2002","Hyperion Press"
"Bring Me the Head of Prince Charming","Roger Zelazny","1992","Spectra Books"
"Dancing in the Light","Shirley MacLaine","1986","Bantam Books"
"Fox Evil","Minette Walters","2003","G. P. Putnam\'s Sons"
"All the King\'s Men","Robert Penn Warren","2002","Harvest Books"
"Little Men","Louisa May Alcott","1962","MacMillan Publishing Company."
"Ein kleiner Tod.","Laura Wilson","2001","Goldmann"
"Unnatural Causes","Jane Bettle","1999","Judy Piatkus Publishers Ltd"
"A Connecticut Yankee in King Arthur\'s Court","Mark Twain","1997","Tor Books"
"The Basketball Diaries","Jim Carroll","1995","Penguin Books"
"Aliens Ate My Homework","Bruce Coville","1993","Aladdin"
"About That Man","Sherryl Woods","2001","Mira"
"The Scorpio Illusion","Robert Ludlum","1993","Bantam Dell Pub Group"
"Uneasy Rider: The Interstate Way of Knowledge","Mike Bryan","1997","Random House Inc"
"The Xenophobe\'s Guide to the French","Nick Yapp","1996","Ravette Publishing Ltd."
"Daniel Martin","John Fowles","1979","Bookthrift Co"
"The Town House","Norah Lofts","2000","House of Stratus"
"Friday Night Lights: A Town, a Team, and a Dream","H. G. Bissinger","1990","Addison Wesley Publishing Company"
"To Be the Best","Barbara Taylor Bradford","1995","HarperTorch"
"Falling Angels","Barbara Gowdy","1990","Soho Press"
"Night Prey","John Sandford","2003","Encore"
"Rabbit Redux","Updike","1982","Not Avail"
"Swimming Pool Library","Alan Hollinghurst","0","Penguin Putnam~trade"
"Tigana","Guy Gavriel Kay","1999","Roc"
"A Maiden\'s Grave","Jeff Deaver","1995","Penguin Highbridge Audio"
"Mr. Murder","Dean R. Koontz","1993","Putnam Pub Group"
"The Great and Secret Show","Clive Barker","1991","Harper Audio"
"Altars in the Street: A Neighborhood Fights to Survive","Melody Ermachild Chavis","1997","Random House Inc"
"I Am Spock","Leonard Nimoy","1995","Hyperion Books"
"The Floating Girl","Sujata Massey","2001","Avon"
"Barchester Towers","Anthony Trollope","1984","New Amer Library Classics"
"The Radiant Way","Margaret Drabble","1987","George Weidenfeld &amp; Nicholson, Ltd."
"Chains of Command","Dale Brown","2001","Berkley Publishing Group"
"The Hero and the Crown","Robin McKinley","1989","ACE Charter"
"Rose of the Prophet, Volume III: The Prophet of Akhran","Margaret Weis","1991","Bantam"
"El Amante Lesbiano","Jose Luis Sampedro","2002","Distribooks"
"One More Sunday","John D. MacDonald","1984","Smithmark Pub"
"The Dollhouse Murders","Betty Ren Wright","1983","Scholastic Paperbacks (T)"
"In the Time of the Butterflies","Julia Alvarez","1994","Algonquin Books of Chapel Hill"
"Anastasia Krupnik","Lois Lowry","1984","Yearling Books"
"Day My Butt Went Psycho","Andy Griffiths","2003","Scholastic"
"The First Counsel","Brad Meltzer","2001","Warner Vision"
"Proud Shoes: The Story of an American Family","Pauli Murray","1987","Harpercollins"
"The Horse and His Boy","C. S. Lewis","1994","HarperCollins"
"Glass Slippers Give You Blisters","Mary Jane Auch","1990","Scholastic"
"Family Secrets: Pyramid of Lies","Anne Marie Winston","2003","Silhouette"
"Though None Go with Me","Jerry B. Jenkins","2000","Zondervan Publishing Company"
"The Gods Themselves","Isaac Asimov","2001","Sagebrush Bound"
"Mirage","Louise Cooper","1988","Tor Books"
"The Whale Rider","Witi Ihimaera","2003","Harcourt Paperbacks"
"The Courier","Melanie Jackson","2004","Love Spell"
"The Perfect Storm","Sebastian Junger","1998","Random House Audio"
"Mere Christianity","C. S. Lewis","2001","HarperSanFrancisco"
"Irreparable Harm","Randy Singer","2003","Waterbrook Press"
"Ship Who Sang","Anne McCaffrey","1979","Del Rey Books"
"The Secret Language of Birthdays: Personology Profiles for Each Day of the Year","Gary Goldschneider","1994","Viking Penguin Inc"
"The Burglar in the Library","Lawrence Block","1997","Penguin USA"
"White Teeth","Zadie Smith","2000","Random House"
"His Touch","Mary Lynn Baxter","2003","Mira Books"
"Dragonsinger","Anne McCaffrey","1978","Random House Childrens Books"
"Last English King","Julian Rathbone","1998","Abacus Uk"
"Honeymoon in Purdah: An Iranian Journey","Alison Wearing","2001","Picador USA"
"The Lazarus Child","Robert Mawson","1998","Random House"
"Servant of the Bones","Anne Rice","1996","Alfred A. Knopf"
"Key Witness","J. F. Freedman","1998","Signet Book"
"Alicia En El Pais De Las Maravillas","Lewis Carroll","2002","Unidad"
"The potato factory: A novel","Bryce Courtenay","1995","W.H.A"
"Gravity\'s Rainbow","Thomas Pynchon","2000","Penguin Books"
"The Mistress of Spices","Chitra Banerjee Divakaruni","1998","Anchor Books/Doubleday"
"Her Daughter\'s Eyes","Jessica Barksdale Inclan","2001","New American Library"
"The Stars Shine Down","Sidney Sheldon","1992","Harpercollins"
"It Had to Be You","Susan Elizabeth Phillips","2002","Avon"
"Fortunes of War","Stephen Coonts","1999","St. Martin\'s Paperbacks"
"The Great Husband Hunt","Laurie Graham","2003","Warner Books"
"The Mysterious Affair at Styles","Agatha Christie","2001","North Books"
"The Stepford Wives","Ira Levin","2002","Perennial"
"I Was a Rat!","Philip Pullman","2002","Yearling Books"
"Realm of Shadows","Shannon Drake","2002","Kensington Publishing Corporation"
"Saturn\'s Race","Larry Niven","2001","Tor Science Fiction"
"Schiffbruch mit Tiger.","Yann Martel","2003","Fischer (S.), Frankfurt"
"Rubyfruit Jungle","Rita Mae Brown","1999","Bantam Books"
"Leaving Las Vegas","John O\'Brien","1996","Faber &amp; Faber"
"The Thief Lord","Cornelia Funke","2002","Scholastic"
"Hell House","Richard Matheson","1985","Warner Books"
"Sam Walton: The Inside Story of America\'s Richest Man","Vance H. Trimble","1991","New Amer Library"
"Nachtmahr. Ein Roman aus der Chronik der Vampire.","Anne Rice","1996","Goldmann"
"Gentlehands","M. E. Kerr","1990","HarperTrophy"
"Gut Symmetries","Jeanette Winterson","0","Granta Books"
"In the Name of Satan","Wensley Clarkson","1998","St. Martin\'s True Crime Classics"
"Godel, Escher, Bach: An Eternal Golden Braid","Douglas R. Hofstadter","1989","Vintage Books USA"
"Unforgivable","Tina Wainscott","2001","St. Martin\'s Paperbacks"
"Garden of Rama","Arthur C. Clarke","1992","Spectra Books"
"A Fine Balance","Rohinton Mistry","2001","Vintage Books USA"
"The Color Purple","Alice Walker","1998","Washington Square Press"
"Offer From a Gentleman, An","Julia Quinn","2001","Avon"
"Ten Plays by Euripides","Euripides","1984","Bantam"
"The Color of Water: A Black Man\'s Tribute to His White Mother","James McBride","1997","Riverhead Books"
"Walden Or, Life in the Woods and on the Duty of Civil Disobedience","Henry David Thoreau","1987","Signet Classics"
"The Pillars of Creation","Terry Goodkind","2001","Tor Books"
"The Inspector and Mrs. Jeffries","Emily Brightwell","1996","Berkley Publishing Group"
"Body of Truth","David Lindsey","1993","Bantam Books"
"A Mathematician Reads the Newspaper","John Allen Paulos","1995","Perseus Books Group"
"No Full Stops in India","Mark Tully","1991","Penguin USA"
"Dirk Gently\'s Holistic Detective Agency","Douglas Adams","1987","Simon &amp; Schuster"
"One Fine Day the Rabbi Bought a Cross","Harry Kemelman","2005","I Books"
"Pegasus in Space","Anne McCaffrey","2001","Del Rey Books"
"The Cave","Jose Saramago","2003","Harvest Books"
"The Carousel","Belva Plain","1998","Dell"
"Four Past Midnight","Stephen King","1990","Viking Books"
