name,book
"Kaven","The Delta Decision"
"Jillian","The Secret Life of Bees"
"Lois","The Pelican Brief"
"Kyla","Deception Point"
"Jenine","The Worst-Case Scenario Survival Handbook"
"Hearl","The Spirit Catches You and You Fall Down"
"Millisa","A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash"
"Carrington","Baby Signs"
"Aryana","Hugger Mugger"
"Alexa","The SEA HUNTERS"
"Monte","The Highlander\'s Touch"
"Carol","The Hot Zone"
"Mckenzie","The Life and Loves of a She-Devil"
"Kenric","The Idea of Perfection"
"Tyree","A College of Magics"
"Kelly","The Alchemist: A Fable About Following Your Dream"
"Hilda","The Complete Bartender"
"Donal","Suitable for Framing W/the Corpse Had a Familiar Face"
"Arya","The Piano Shop on the Left Bank: Discovering a Forgotten Passion in a Paris Atelier"
"John","Reckless Encounter"
"Rosa","The Cat Who Went up the Creek"
"Ellory","The Map of Love"
"Smith","Pigs in Heaven"
"Kieth","Being a Pagan: Druids, Wiccans, and Witches Today"
"Anna","The Mistress of Spices"
"Delmar","A Woman Like That: Lesbian and Bisexual Writers Tell Their Coming Out Stories"
"Cecilia","The Daughter of Time"
"Jeramie","The Scorpio Illusion"
"Shaniya","Lords und Ladies. Ein Roman von der bizarren Scheibenwelt."
"Morgan","Kokology: The Game of Self Discovery"
"Kayla","Motherless Brooklyn"
"Paxton","Greenwitch"
"Ausha","Bridget Jones: The Edge of Reason"
"Travis","All the Way Home"
"Theophilus","A Painted House"
"Rashae","Socrates Cafe: A Fresh Taste of Philosophy"
"Zoelle","A Reasonable Life: Toward a Simpler, Secure, More Humane Existence"
"Catelyn","Fanfan"
"Alban","Bridget Jones\'s Diary"
"Leah","The Honk and Holler Opening Soon"
"Leo","Cavedweller"
"Adrien","Cold Night, Brittle Light"
"Edwin","Mindstar Rising"
"Silas","Defy Not The Heart"
"Chelsy","We Are Witnesses: Five Diaries of Teenagers Who Died in the Holocaust"
"Melany","The Lions of Al-Rassan"
"Marcia","The Hearing"
"Nicholl","Clear Your Clutter and Feng Shui Your Life"
"John","Midnight Embrace"
"Darryl","In a Sunburned Country"
"Rena","Shinju"
"Exie","Notes From a Small Planet"
"Giselle","Russell Grant\'s Dream Dictionary"
"Sidney","Jackdaws"
"Reeshemah","What Would Buddha Do at Work? 101 Answers to Workplace Dilemmas"
"Davionna","Their Eyes Were Watching God"
"Dagmar","The Servants of Twilight"
"Kelin","Worst Fears Realized"
"Curtiss","The Fresco"
"Mandrell","Animal Dreams"
"Harsha","Johnny Got His Gun"
"Brenda","All Hallow\'s Eve"
"Robin","Animal Husbandry"
"Quintavius","The Tin Can Tree"
"Melvia","The Five People You Meet in Heaven"
"Deborah","The Gates of Sleep"
"Bret","An Hour Before Daylight"
"John","Running Scared"
"Sandra","The Winter Solstice: The Sacred Traditions of Christmas"
"Lucy","The Art of the Handwritten Note: A Guide to Reclaiming Civilized Communication"
"Billy","Alchemy and Academe"
"Emilie","Lives of the Monster Dogs"
"Silvina","Deception Point"
"Tonya","The Tiger in the Well"
"Angala","Princess: A True Story of Life Behind the Veil in Saudi Arabia"
"Mollie","The Wall of Night"
"Simone","The French Mathematician"
"Torian","Reflections And Dreams"
"Warren","The Black Lyon"
"Russell","The Dr. Drew and Adam Book: A Survival Guide To Life and Love"
"Mina","The Chisellers"
"Lashunda","The Apocalypse Watch"
"Tracie","Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space"
"Lavell","Dragon Fantastic"
"Anna","Gates of Eden"
"Joy","Forget Me Not"
"Michael","The Fortune of War"
"Maggie","The Stone Diaries"
"Bartholomew","N-Space"
"Maxxwell","The Blue Sword"
"Dean","The Thin Woman"
"James","Fifty Acres and a Poodle: A Story of Love, Livestock, and Finding Myself on a Farm"
"Micheal","Uppity Women of Medieval Times"
"Vivian","Time Without End"
"Lavinia","Forbidden Magic"
"Louis","The Beach House"
"Arien","Two for the Dough"
"Thomas","Rendezvous with Rama"
"Raquel","Elements of Style 3ED"
"Alyse","The Dark Highlander"
"Latron","People of Heaven"
"Althea","Terry: My Daughter\'s Life-And-Death Struggle With Alcoholism"
"Isaiah","Brazen Virtue"
"Donovan","Unnatural Exposure"
"Aaron","Passenger to Frankfurt"
"James","Reunion in Death"
"Rae","The Midnight Club"
"Avamarie","Your\'s Till Niagara Falls, Abby"
"Lou","I Thee Wed"
"Annalyssa","The Power of Positive Thinking"
"Joan","American Star"
"Jarissa","The Stephen King Universe"
"Penelope","Complications: A Surgeon\'s Notes on an Imperfect Science"
"Harrison","The Cat Who Sniffed Glue"
"Virginia","A Little Princess"
"Justin","With A Southern Touch"
"Brenda","Chicken Soup for the Cat and Dog Lover\'s Soul - Celebrating Pets as Family with Stories About Cats, Dogs and Other Critters"
"Marcus","The Story of the Trapp Family Singers"
"Kyle","The Crimson Petal and the White"
"Murray","La Religieuse"
"John","Mean Woman Blues"
"Bethanie","City of Joy"
"Edward","The Book That Changed My Life: Interviews With National Book Award Winners and Finalists"
"Jennifer","How to Trace Your Family Tree: A Complete and Easy to Understand Guide for the Beginner."
"Ellana","Far Side Gallery 3 Paperback"
"Rasheem","Sick Puppy"
"Shadai","The Mulberry Tree"
"Cecil","The Heiress"
"Elaine","Follow the Stars Home"
"Louise","Disappearing Acts"
"Solomon","Rabbit Is Rich"
"Rodrigo","Move to Strike"
"Andree","The Bridges of Madison County"
"Ryon","The Stephen King Quiz Book"
"Kiara","Certain Prey"
"Darrel","Field of Thirteen"
"Rome","Breach of Promise"
"Stewart","Empire Falls"
"Deanthony","Their Eyes Were Watching God"
"Madalene","Rules of the Wild"
"Carlee","Finding Your Own North Star: Claiming the Life You Were Meant to Live"
"Valerie","Angelas Ashes: A Memoir"
"Gerald","The Twisted Root"
"Americus","Belfast Diary: War As a Way of Life"
"Daija","A Darkness More Than Night"
"Thelma","The Hook"
"Mandie","Diet for a New America"
"Victoria","The Secret Pilgrim"
"Kealy","Kids Are Worth It!: Giving Your Child the Gift of Inner Discipline"
"Brian","Crystal Line"
"Elam","Twilight Hunger"
"Benjamin","All Smiles"
"Paul","New York Dead"
"Laney","The World According to Garp"
"Annette","Keeper of the Dream"
"Ora","The Positive Power of Negative Thinking: Using Defensive Pessimism to Harness Anxiety and Perform at Your Peak"
"Kent","Almost a Lady"
"Antonette","Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right"
"Keyunna","Killer Asylum"
"Ronald","Early Autumn"
"Elvera","Extension Du Domain De La Lutte"
"Virginia","The Mummy or Ramses the Damned"
"Demetrios","A Child Called ""It"": One Child\'s Courage to Survive"
"Leonel","Wish You Well"
"Anjali","Dude, Where\'s My Country?"
"Nell","Misconceptions"
"John","Princess Charming"
"Gabriela","That Summer Place"
"Alycia","The Cat Who Tailed a Thief"
"Latasha","The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory"
"James","Death Be Not Proud: A Memoir"
"Corey","Night of the Mary Kay Commandos Featuring Smell O-Toons"
"Lucy","The Practical Guide to Practically Everything"
"Ollie","The Good Sister"
"Hank","The Simple Truth"
"Dorothy","Her Name, Titanic"
"Jullian","Oceano Mare"
"Willie","Motherhood the Second Oldest Profession"
"Daron","From Potter\'s Field"
"Bonne","A Year in Provence"
"Jacquelyn","Suspicion of Innocence"
"Lauretta","Icy Sparks"
"Anh","Go Tell It on the Mountain"
"Larry","The Hundred Secret Senses"
"France","Neverwhere"
"Haja","Rebecca\'s Tale"
"Sandra","Call of Cthulhu"
"Bryan","Once Upon a Pillow"
"Darryel","Die Mutter."
"Landis","Night Ride Home"
"Jessicamarie","Just Wait Till You Have Children of Your Own"
"Johnny","L Is for Lawless"
"Dewayne","Deception Point"
"Raina","In a Sunburned Country"
"Josephine","Murder on the Links"
"Pat","Dead Sleep"
"Edwin","Cat\'s Eye"
"Christoper","Chroniques de San Francisco, tome 1"
"Georgeann","American Rhapsody"
"Christine","Camp Foxtrot"
"Chris","French Silk"
"Celene","Big Russ and Me: Father and Son--Lessons of Life"
"Nicholas","Final Target"
"Audrie","Me Talk Pretty One Day"
"Cordney","Three Fates"
"Stormey","Roll of Thunder, Hear My Cry"
"Jatin","Home Before Dark"
"Beatris","Bridget Jones\'s Diary"
"Abigail","Anthem"
"Elana","Eva Luna."
"Norah","Godel, Escher, Bach: An Eternal Golden Braid"
"Christa","Les Justes"
"Irving","The Macgregors: Daniel-Ian"
"Lula","The Color of Magic"
"Debralee","If You Come Softly"
"Kelden","Sent by Earth: A Message from the Grandmother Spirit After the Bombing of the World Trade Center and the Pentagon"
"Jannine","Genuine Lies"
"Ronal","The Girls\' Guide to Hunting and Fishing"
"Virgie","Just Like Jesus"
"Chenille","Mere Christianity"
"Delton","First, Best And Only"
"Gladys","The Gumshoe, the Witch, and the Virtual Corpse"
"Virginia","The Rabbi"
"Elizebeth","The Da Vinci Code"
"Marcelo","Limpieza de sangre"
"Mary","A Gentle Thunder"
"Corinda","Skyward"
"Raechel","Executive Orders"
"Roni","Grand Avenue"
"Jeramie","The Hot Zone"
"Keesha","Four Past Midnight"
"Taijah","The Girl Who Loved Tom Gordon"
"Aundre","Codgerspace"
"Malina","A l\'Ouest rien de nouveau"
"Maddelyn","Shuttlecock"
"Nautica","Black Hawk Down: A Story of Modern War"
"Mea","Ishmael"
"Frank","Mister Candid"
"Karlyn","Rose Madder"
"Elijah","Galileo\'s Daughter: A Historical Memoir of Science, Faith, and Love"
"Anne","The Vulture Fund"
"Marcell","Fish! A Remarkable Way to Boost Morale and Improve Results"
"Brennen","Buried Memories"
"Rylan","House of Echoes"
"Edilberto","Serpentine"
"Bayne","Rich Christians In An Age Of Hunger"
"Justo","The Calvin and Hobbes Tenth Anniversary Book"
"Donnie","Wish List"
"Chad","Breaking the Surface"
"Ryle","The Bird Artist"
"Lalita","The Day of the Jackal"
"Keonia","Sophies Choice"
"Korrina","A Place of Execution"
"Cleston","Silence of the Lambs"
"Mathew","Unnatural Exposure"
"Sherrie","Engaging The Enemy"
"Magnolia","Friends: The One About the #1 Sitcom"
"Jalana","Ishmael"
"Tamme","The Great Pretender"
"Eleanor","The Poisonwood Bible"
"Aric","Strange Bedpersons"
"Stuart","The Bonesetter\'s Daughter"
"Viona","The Girls\' Guide to Hunting and Fishing"
"Simon","My Sergei: A Love Story"
"Angeleen","Solaris - German Ed"
"Melany","Tigana"
"Brady","Myths to Live by"
"Alexavier","The Absence of Nectar"
"Hailee","The Cat Who Went into the Closet"
"Alysen","Three Fates"
"Shauna","The Lorax"
"Ikran","The Seven Sisters"
"Genaro","Turtle Moon"
"Sam","A Prayer for Owen Meany"
"Earlene","Seven-Day Magic"
"William","Maus a Survivors Tale: My Father Bleeds History"
"Elle","Bastard Out of Carolina"
"Jocelin","A Match to the Heart/One Woman\'s Story of Being Struck by Lightning"
"Cynthia","Getting Over Jack Wagner"
"Francisco","A Natural History of the Senses"
"Cambria","The Summons"
"Patti","Born in Shame"
"Omarion","Beneath the Skin"
"Naftali","A Quiver Full of Arrows"
"Michael","Winter Prey"
"Guadalupe","The WEDDING"
"Jordan","A Painted House"
"Chanell","Bridget Jones\'s Diary"
"Emilee","The Llama Parlour"
"Therese","Summerland"
"Jacqulene","Portrait in Death"
"Kalel","The Bridges of Madison County"
"Andre","Dark Prince"
"Skip","Fifty Acres and a Poodle: A Story of Love, Livestock, and Finding Myself on a Farm"
"Finley","The Mulberry Tree"
"Kathyrn","Midnight Bayou"
"Carson","Together Alone"
"John","An Unthymely Death: And Other Garden Mysteries"
"Larene","The Memory Cathedral: A Secret History of Leonardo Da Vinci"
"Joann","The Indispensable Calvin And Hobbes"
"Arlen","False Memory"
"Kedarius","Free"
"Ida","Deadly Grace"
"Randon","Choral am Ende der Reise."
"James","Good Night, Gorilla"
"Jose","The Lovely Bones"
"Elisheva","One True Thing"
"Lonia","The Brethren"
"Obie","Almost Adam"
"Melba","Promise Forever"
"Macie","The Hero and the Crown"
"Ashely","The Arrangement"
"Helayna","Dragondrums"
"Deane","Presumed Innocent"
"Javier","One True Thing"
"Derrick","Der Regenmacher."
"Darelle","An Egg on Three Sticks"
"Charles","In Our Time"
"James","The Ragamuffin Gospel"
"Yaqueline","The Devil\'s Arithmetic"
"Carlie","Bush at War"
"Bruce","The End of the Pier"
"Nonie","More Than a Carpenter"
"Matthew","Saint George and the Dragon"
"James","Grendel"
"Denali","To Play the Fool"
"Sheana","Suzanne\'s Diary for Nicholas"
"Roxane","Motherhood: The Second Oldest Profession"
"Sheryle","The Teeth of the Tiger"
"Joseph","Seduction of Peter S"
"Mikalyn","The Beach House"
"Rina","Color Purple"
"Lori","Skeleton Crew"
"Brett","Poodles: A Book of Postcards"
"John","Daughter of the Game"
"Markas","Stadtgeschichten Band 1"
"Charlynn","The Hancock Boys"
"Clayborn","Beauty: A Retelling of the Story of Beauty and the Beast"
"Makenzy","Romancing the Ordinary"
"Perry","Strider"
"Kate","Something Wicked This Way Comes"
"Kymari","When Heaven Weeps - A Novel -"
"Lc","The Idiot Girls\' Action Adventure Club"
"Chandrika","The Temple of My Familiar"
"Mason","The Killer Angels"
"Kandiss","Miss Wyoming Uk Edition"
"Maranda","Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right"
"Celesta","The Red Hat Club"
"Mary","Comes the Blind Fury"
"Justin","The Nonesuch"
"Brookelyn","Yeager: An Autobiography"
"Gustave","The Lovely Bones"
"Jaekwon","Bridge to Terabithia"
"Mika","Sideways Arithmetic from Wayside School"
"Facundo","Love, Medicine, and Miracles"
"Treasure","A Short History of Nearly Everything"
"Kegan","The Power of One"
"Nicole","The Firm"
"Sharhonda","The Joy Luck Club"
"Mikhael","Starship Titanic"
"Kenadi","What the Buddha Taught"
"Jennifer","Robots and Empire"
"Marabeth","Shibumi"
"Nealie","Nisa: The Life and Words of a !Kung Woman"
"Rylee","Obsidian Butterfly"
"Priscilla","All I Need to Know I Learned from My Cat"
"Frances","Bet Me"
"Litzi","Scribbler of Dreams"
"Wanda","The Sea Shack"
"Rylee","A Stolen Tongue"
"Syra","Bridget Jones\'s Diary"
"Rita","""O"" Is for Outlaw"
"Jj","Eats, Shoots and Leaves: The Zero Tolerance Approach to Punctuation"
"Norman","It\'s a Cat\'s Life"
"Angelina","No Longer at Ease"
"Lynell","The Client"
"Brittanie","Fuselfieber."
"Teanna","Ways of Seeing"
"Julieta","The Kitchen God\'s Wife"
"Aminata","Historias de Amor"
"Kathleen","Little Men"
"Donald","The Fasting Girl: A True Victorian Medical Mystery"
"Rasheed","Among the Missing"
"Miguelangel","Maggie Needs an Alibi"
"Judith","The Handmaid\'s Tale"
"Moira","Mr. Maybe"
"Donny","Getting over Edgar"
"Latarsha","10 Lb. Penalty"
"Danny","A Fine Balance"
"Gavin","River, Cross My Heart"
"Brittney","A Raisin in the Sun: The Unfilmed Original Screenplay"
"Rosina","We Were the Mulvaneys"
"Mitchel","The Endurance: Shackleton\'s Legendary Antarctic Expedition"
"Sandra","The Owl Service"
"Britta","The Joy Luck Club"
"Robert","Some Like It Sizzling"
"Lilly","Attack Of The Deranged Mutant Killer Snow Goons"
"Tayshon","The Client"
"Raiven","7b"
"Martha","Boy\'s Life"
"Tiffiny","The Mummy or Ramses the Damned"
"Shedrick","A World Out of Time"
"Dennis","Cry to Heaven"
"Jesse","The Dolphins of Pern"
"Claudia","The Shining"
"Simona","Jacob Have I Loved"
"Carletta","Spares"
"Ava","The Sneetches and Other Stories"
"Radames","My Antonia"
"Jeffrey","The Secret Garden"
"Heaven","To Ride Pegasus"
"Emmitt","Mismeasure of Man"
"Carson","Tell No One"
"Tempie","Mystic River"
"Aldea","After the Ecstasy, the Laundry: How the Heart Grows Wise on the Spiritual Path"
"Israel","Memoirs of an Invisible Man"
"Betsy","City of Bones"
"Ted","Cider With Rosie"
"James","The Chisellers"
"Clem","Wrong Rooms: A Memoir"
"Mckinzie","We Were the Mulvaneys"
"Richard","Taltos: Lives of the Mayfair Witches"
"Rufus","Great Plains"
"Brayten","The River\'s Gift"
"Cameron","Travels With Charley: In Search of America"
"Herbert","Weirdos From Another Planet!"
"Tien","Never After"
"Mackenzie","The Ghostway"
"Jordan","Glorious Dawn"
"Earl","How to Be a Canadian: Even If You Already are One"
"Mccoy","Wicked: The Life and Times of the Wicked Witch of the West"
"Nita","A History of Witchcraft: Sorcerers, Heretics, and Pagans"
"Linde","The Perks of Being a Wallflower"
"Anylah","Feel the Fear and Do It Anyway"
"James","Can Man Live Without God"
"Pascale","Five Quarters of the Orange"
"Brett","Lake Wobegon Days"
"Caspian","The Illustrated Brief History of Time, Updated and Expanded Edition"
"Joseph","Roll of Thunder, Hear My Cry"
"Erma","A Prayer for Owen Meany"
"Aleatha","Mystic River"
"Kaytlen","The Treasure Box"
"Matasha","Yeats ist tot. 15 Autoren schreiben einen sehr irischen Roman."
"Philip","Assumed Identity"
"Taytum","Neither Here nor There: Travels in Europe"
"Anjana","Heavy Weather"
"Beatriz","Further Tales of the City"
"Tylynn","The Passion of Artemisia"
"Jorge","The Five People You Meet in Heaven"
"Yovany","The Misfits"
"Rylen","Widow\'s Walk"
"Tyquan","Peace Like a River"
"Wesley","Frozen Summer"
"Lillianne","Snake Oil Wars or Scheherazade Ginsberg Strikes Again"
"Alexandria","Burning The Map"
"Anne","Line of Vision"
"Rebecca","Girls on Film"
"Evangeline","A Prayer for Owen Meany"
"Ivon","There\'s Treasure Everywhere--A Calvin and Hobbes Collection"
"Elsa","A History of Pi"
"Linda","A Dry White Season"
"Doree","Do Androids Dream of Electric Sheep?"
"Tiaira","Small Town Girls"
"Cashay","My Love Affair with England: A Traveler\'s Memoir"
"Stephen","Rachel\'s Holiday"
"Darian","The Virgin Suicides"
"Edna","One Fine Day the Rabbi Bought a Cross"
"Danelly","Donde El Corazon Te Lleve"
"Dondi","Under the Tuscan Sun"
"Virtie","The Future Scrolls"
"Donna","The Coelura"
"Jeremy","Agatha Christie: An Autobiography"
"Amaya","Crystal Line"
"Mahogany","Crooked River Burning"
"Johnell","Complete Chronicles of Narnia"
"Obie","Infinity Beach"
"Ortencia","Neverwhere"
"Sherree","The Girls\' Guide to Hunting and Fishing"
"Lucy","The Matarese Countdown"
"Kearstin","Lie Down With Lions"
"Gauge","My Utmost for His Highest: An Updated Edition in Today\'s Language"
"Dawson","Heart of a Warrior"
"Julisa","The Shining"
"Adolfo","Zoya\'s Story: An Afghan Woman\'s Struggle for Freedom"
"Justin","Four In Hand"
"Divine","Tidings of Great Joy"
"Mason","The Joy Luck Club"
"Carolina","The Midnight Club"
"Minnie","The Da Vinci Code"
"Sunni","J Is for Judgment"
"Eileen","A Natural History of the Senses"
"James","L\'Attrape-Coeurs"
"Demetrice","The Program"
"Melis","Sweet Baby"
"Tamika","One Door Away from Heaven"
"Lashonda","The Temple of My Familiar"
"Celsey","The Girls\' Guide to Hunting and Fishing"
"Tracy","Child of My Heart"
"Aaleigha","The Alienist"
"Jaxon","The Further Observations of Lady Whistledown"
"Donald","Women in Their Beds: New and Selected Stories"
"Johnson","One Door Away from Heaven"
"Jennings","The Perks of Being a Wallflower"
"Stanley","Adventures of Tom Sawyer"
"Willard","The Handmaid\'s Tale"
"Janet","The Winston Brothers"
"Melia","Lust for Life"
"Kaela","The Second Sex"
"Ashiyah","The Color of Water: A Black Man\'s Tribute to His White Mother"
"Mazie","Blind Man\'s Bluff: The Untold Story of American Submarine Espionage"
"Delbert","The Judas Pair"
"Selena","Seasons of the Heart/Four Complete Novels in One Book"
"Cheston","Das Druidentor."
"Gay","What Your Doctor May Not Tell You About Menopause: The Breakthrough Book on Natural Progesterone"
"Windy","Knitting Journal"
"Nelson","Der Besuch des Leibarztes."
"Timothy","So Worthy My Love"
"Meaghan","Sin Killer"
"Kase","Crossing to Safety"
"Alexa","Needful Things"
"Mariah","The Cat Who Brought Down the House"
"Carmen","Bridget Jones\'s Diary"
"Meagan","The Chronicles of Narnia Boxed Set"
"Jethro","Black Notice"
"Catlyn","One Child"
"Minerva","The Whale Rider"
"Keith","Westing Game"
"Scott","Send Bygraves"
"Keo","The House of the Spirits"
"Taryn","Vampire$"
"Morris","Limericks, Limericks, Limericks"
"Teressa","Double Deuce"
"Martha","The Heart of a Woman"
"Isabella","Bleachers"
"Velia","The Perfect Lover"
"Bennett","The Art of Raising a Puppy"
"Jayan","The Summons"
"Clarence","Trumpet of the Swan"
"Laquinta","White Shell Woman"
"Angelique","Reading Lolita in Tehran: A Memoir in Books"
"Peyton","The Way We Never Were: American Families and the Nostalgia Trap"
"Peggy","Actual Innocence"
"Kaitlynn","A Prayer for Owen Meany"
"Darryn","A Natural History of the Senses"
"Wanda","Chasing Cezanne"
"Tasnia","The Illustrated Alchemist: A Fable About Following Your Dream"
"Covey","The Cider House Rules"
"Douglass","Vietnam: A History"
"Manual","The Day of the Triffids"
"Harvey","Stick Figure: A Diary of My Former Self"
"Jason","The Ultimate Weight Solution: The 7 Keys to Weight Loss Freedom"
"Eddie","The Ceo of the Sofa"
"Henry","Midnight Embrace"
"Tessie","Breathing Lessons"
"Shakia","The Blue Bedspread"
"Jazmine","Lost Light"
"Thane","Dude, Where\'s My Country?"
"Kailee","El lobo estepario"
"Jhonatan","The Client"
"Marrio","The Color Purple"
"John","Swear by the Moon"
"Excell","The Regulators"
"Zaryiah","The Joy Luck Club"
"Lilyanah","An Accidental Woman"
"Joshlyn","Good in Bed"
"Samantha","The Tattooed Map"
"Bryanna","One Child"
"James","One Child"
"Sylvia","Callahan\'s Lady"
"Teghan","The Handmaid\'s Tale"
"Tasha","Night Lives On"
"Lily","The Time Ships"
"Cyle","Dark Rivers of the Heart"
"Izel","The Neverending Story"
"Aaliyah","The Hook"
"Jasmina","Tell No One"
"Destinee","The Unabridged Mark Twain"
"Thomas","Black Boy"
"Nickia","Cavedweller"
"Lorna","Oh, the Places You\'ll Go!"
"Rita","Mint Julep Murder"
"Marcene","The Girls\' Guide to Hunting and Fishing"
"Marilyn","Dead Eyes"
"Merla","Motherhood: The Second Oldest Profession"
"Timothy","Midnight Bayou"
"Monita","The Joy Luck Club"
"Frances","For the Roses"
"James","The Book of Truly Stupid Sports Quotes"
"Siobhan","Zen and the Art of Knitting: Exploring the Links Between Knitting, Spirituality, and Creativity"
"Donald","Moominsummer Madness"
"Salmaan","Into the Forest"
"Krystina","Young Wives"
"Malia","Q Is for Quarry"
"Maddox","The Virgin Suicides"
"Cecilia","Sudden Prey"
"Aleiah","Tales of a Female Nomad: Living at Large in the World"
"Infinity","Soul of a New Machine"
"Kevin","Then She Found Me"
"James","Roger Caras\' Treasury of Great Cat Stories"
"Baylor","Don\'T Step In The Leadership:A Dilbert Book"
"Magan","One True Thing"
"Junious","A Yellow Raft in Blue Water"
"Djuan","Going Home: Unfinished Business/ Island of Flowers/ Mind Over Matter"
"Kourtnei","In the Company of Others"
"Emari","Dreams of Childhood: Postcard Book"
"Ivan","Shopaholic Ties the Knot"
"Bryant","I Dreamed of Africa"
"Javarus","Dead North: An Alaska Mystery"
"Charline","Skeleton Crew"
"Dennis","Einstein\'s Dreams"
"Norman","An Invisible Sign of My Own"
"Amairani","Daughter of Fortune"
"Stefan","Shattered Mirror"
"Charles","The Vanishing"
"Kathryne","On Mystic Lake"
"Daniella","Prime Witness"
"Robin","In the Time of the Butterflies"
"China","Dienstags Bei Morrie: Die Lehre Eines Lebens"
"Zackrey","The Knight in Rusty Armor"
"Mayela","Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right"
"Khristopher","Mortal Prey"
"Darrold","Animal Farm"
"Tiffany","Seven Gothic Tales"
"Lamontae","The Da Vinci Code"
"Irene","A Walk in the Woods: Rediscovering America on the Appalachian Trail"
"Gauri","Simon\'s Family"
"Gabriell","Point of Impact"
"Shabnam","Neverwhere"
"Shaheem","The Perks of Being a Wallflower"
"Jason","So Speaks the Heart"
"Nickolette","The Girls\' Guide to Hunting and Fishing"
"Terria","Bridget Jones\'s Diary"
"Analicia","Winter Moon"
"Ian","Violets Are Blue"
"Jolee","Rachel\'s Holiday"
"Milta","Das Erbe des Zauberers. Ein Roman aus der bizarren Scheibenwelt"
"Aika","The Door to December"
"Tagen","Where the Red Fern Grows"
"Bettye","The Lake House"
"Lilli","A Walk in the Woods: Rediscovering America on the Appalachian Trail"
"Giavonni","Mr. X"
"Mariana","Death of an Expert Witness"
"Mario","Fire and Hemlock"
"Cristopher","Good Omens"
"Susie","Fuzzy Logic Get Fuzzy 2"
"Kenny","Lord God Made Them All"
"Albert","Clan of the Cave Bear"
"Sally","Deep Fathom"
"Keshauna","Monkey vs. Robot"
"Stephanie","Defy Not The Heart"
"Celena","The Power of Positive Thinking"
"Monica","Salvation on Sand Mountain: Snake Handling and Redemption in Southern Appalachia"
"Beverley","The Bourne Identity"
"Michella","Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood For Jesus, the Ultimate Jesus Freaks"
"Olivia","Needful Things"
"Melvin","A Terrible Beauty"
"Graycie","Sushi for Beginners"
"Kennth","Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life"
"Gracen","Die Firma. Roman."
"Brently","City of Bones"
"Perry","Bridget Jones\'s Diary"
"Jean","Dinner Homesick Rest"
"Nicolina","A Day Late and a Dollar Short"
"James","Blue Latitudes: Boldly Going Where Captain Cook Has Gone Before"
"Trevell","Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx"
"Isaiah","Worth Any Price"
"Eloise","Wiener Dog Art"
"Frances","Night Whispers"
"Robert","Very Truly Yours"
"Ahniyah","On My Own at 107: Reflections on Life Without Bessie"
"Celestino","The Bone People"
"Wanda","Under the Tuscan Sun"
"Dasani","The Ignored"
"Desiree","9-11"
"Moses","Sister of My Heart"
"Brayden","Some Buried Caesar"
"Eileen","If Beale Street Could Talk"
"Ruth","Dark Symphony"
"Brian","Ship Who Sang"
"Izaak","The Napping House"
"Manda","The Night Before"
"Modine","Silent Honor"
"Ruchy","Waiting for Godot"
"Nichole","Aman: The Story of a Somali Girl As Told to Virginia Lee Barnes and Janice Boddy"
"Markia","The Last Precinct"
"Les","Deep South"
"Carden","Das Superwieb"
"Corinn","The Comfort of Strangers"
"Aunna","Till We Meet Again"
"Chet","The Anubis Gates"
"Khalil","Kentucky Heat"
"Neveah","Circle of Stars"
"Vivian","Call of the Moon"
"Farrah","Envy"
"Graham","Ralph\'s Party"
"John","The Visitors\' Book"
"Isabel","No Ordinary Moments: A Peaceful Warrior\'s Guide to Daily Life"
"Ethel","Lion in the Valley"
"Jeremy","McNally\'s Gamble"
"Shaneque","Guilt By Silence"
"Sundee","Almost Adam"
"Izzac","Not Without My Daughter"
"Ricky","Loving Jessie"
"Billi","The Secret Life of Bees"
"Carol","97 Ways to Make A Baby Laugh"
"Kathern","Blindness"
"Amy","The Wolf King"
"Concepcion","Day of Confession"
"Zayden","What Not to Wear"
"Nadim","The Summons"
"Camille","Jinx High:  A Diana Tregarde Investigation"
"Blaise","City of Bones"
"Lilian","Like Silk"
"Evelene","L.A. Confidential"
"Helmer","Everyone Is Entitled to My Opinion"
"Robert","Flowers from the Storm"
"Sholanda","The Distinguished Guest"
"Kenny","The Thorn Birds"
"Mariam","Farm Fatale: A Comedy of Country Manors"
"Cody","Violets Are Blue"
"Pranavi","Best of Sherlock Holmes"
"Candace","Southern Gentlemen"
"Emiko","I Heard the Owl Call My Name"
"Alberta","The Client"
"Efrain","Animal Dreams"
"James","Mortal Prey"
"Kyani","All Fall Down"
"Ifeoluwa","Demon in My View"
"Carol","My Son\'s Story"
"Raphael","Invisible Monsters"
"Darien","Triangle: The Fire That Changed America"
"Annah","Cane River"
"Gil","Blindness"
"Omari","The Handmaid\'s Tale"
"Polly","An Anthropologist on Mars: Seven Paradoxical Tales"
"Jayse","The Power of One"
