name,book,rating
"Wanda","The Bonesetter\'s Daughter",5
"Reynold","A Spy\'s Life",2
"Pia","The Dirty Duck",3
"Cybill","The Last Book in the Universe",4
"Jamar","Deja Dead",4
"Andrew","Eleventh Hour",2
"Hillel","Mutant Message Down Under",2
"Ward","The Prince of Tides",4
"Kristin","Charming Billy",5
"Hunter","The Client",3
"Joseph","Absolutely Normal Chaos",3
"Eileen","Two or Three Things I Know for Sure",4
"Daniel","Last Dinner On the Titanic Menus and Recipes From the Great Liner",4
"Deidre","Love Is a Four Letter Word",4
"Gennaro","Stars and Bars",2
"James","Bilbo, Le Hobbit",4
"Tavon","Second Chance: Healing Messages from the Afterlife",4
"Yaneth","Dude, Where\'s My Country?",5
"Faithann","Contract with an Angel",5
"Dorothy","Crystal Line",4
"Germain","Gates of Eden",3
"Tamy","The Vanishing",2
"Sophya","Uncommon Grounds: The History of Coffee and How It Transformed Our World",3
"Marguerite","The Edge of Heaven",4
"Buckley","Vermillion eye: A chiller of a thriller that will shock you to the bone",1
"Eluterio","Briar Rose",5
"Dianna","Stranger Things Happen",3
"Jorge","Dressing Up for the Carnival",2
"Alysha","The Bridges of Madison County",2
"Dorothy","Last Unicorn",4
"Kimyata","Good in Bed",4
"Kim","Swansong",2
"Henson","A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash",3
"Bryan","A Darker Dream",2
"Emmilee","Shinju",3
"Julie","Villains by Necessity",5
"Korey","The Key to Rebecca",4
"Swan","Wild Animus",3
"Lakeshia","Vengeance in Death",4
"Jaymar","The Last Precinct",5
"Elaine","Whispers and Lies",4
"Emma","Family Honor",2
"Jozie","Grand Central Winter",4
"Tessie","Hollow Hills",4
"Vivian","For All Eternity",4
"Teagan","Field of Thirteen",4
"Carson","Suffer the Children",5
"Georgina","Unnatural Exposure",2
"Taniah","Wild Animus",2
"Ofelia","Stormy Weather",4
"Heriberto","The Killing Kind",2
"Sania","The Night Listener",4
"Mekhia","Once And Again",5
"Breyana","Contagion",3
"Maryama","Create Your Own Cross Stitch: How to Turn Your Design Ideas into Reality",3
"Yoav","Asta\'s Book",4
"Stuart","Kiss an Angel",5
"Denaya","Do No Harm",4
"Camillo","The Stay-At-Home Mom\'s Guide to Making Money: How to Create the Business That\'s Right for You Using the Skills and Interests You Already Have",4
"Mieka","Going Home: Unfinished Business/ Island of Flowers/ Mind Over Matter",4
"Craven","Les Particules Elementaires",3
"Della","The Ragamuffin Gospel",5
"Solana","Stories for a Woman\'s Heart",1
"John","The Eagle\'s Shadow: Why America Fascinates And Infuriates The World",4
"Lorelle","Castelli Di Rabbia",5
"Destyni","Earth Abides",3
"Emilly","Good Omens",3
"Amos","Desolation Angels",4
"Derrek","The Cater Street Hangman",5
"Brigham","The Homing",1
"Jalissa","Green Mars",3
"Vernetta","The Pelican Brief",4
"Harvey","Stick Figure: A Diary of My Former Self",4
"Leda","Novel Without a Name",4
"Avary","The Other Boleyn Girl",4
"Sylvia","The Mummy or Ramses the Damned",5
"Ell","Walking Across Egypt",3
"Hannah","Choke",4
"Irwin","Hamlet - Othello - Macbeth",4
"Yvonne","Close to Shore: A True Story of Terror in an Age of Innocence",3
"Neilson","Bell Jar",5
"Keoki","Nuts! Southwest Airlines\' Crazy Recipe for Business and Personal Success",5
"Lavinia","The Devil\'s Bargain",3
"Yashvi","Cowboys Are My Weakness",4
"Asahel","The Summons",2
"Trevell","Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",4
"Jerod","Der Club der Teufelinnen.",5
"Ren","DEEP 6",4
"Lessly","Mr. X",3
"Bennett","The Art of Raising a Puppy",5
"Gitty","A Simple Plan",3
"Angus","Paris to the Moon",2
"Nathan","Rapture in Death",4
"Antonio","The Tightwad Gazette: Promoting Thrift As a Viable Alternative Lifestyle",5
"Jocelyn","Lover in the Rough",4
"Samuel","The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",5
"Rosalva","Seasons of Her Life",5
"Jody","The Cat Who Moved a Mountain",5
"Thera","School for the Blind",3
"Suzann","El Club de Los Poetas Muertos",4
"Keyshawn","The Rose Grower",2
"Erice","The Kitchen God\'s Wife",4
"Kathleen","Unnatural Exposure",4
"Avis","Heartwood",2
"Anner","It\'s Not About the Bike: My Journey Back to Life",4
"Mitzie","Suspicion of Malice",3
"Priscila","Harry Potter y el prisionero de Azkaban",5
"Patti","Rapture in Death",3
"Karl","Burning The Map",4
"Kohei","Wicked: The Life and Times of the Wicked Witch of the West",4
"Spencer","The King of Torts",4
"Cari","Shadow Leader",3
"Dillon","The Black Swan",3
"Lloyd","Fast Women",5
"Lillyann","The Bridges of Madison County",4
"Bernadine","Violets Are Blue",4
"Tevon","A Prayer for Owen Meany",4
"Scottie","Life on the Road",4
"Neda","Get Shorty",3
"Alexys","The Blind Assassin",2
"Derek","The Water-Method Man",3
"Douglas","J. K. Rowling: The Wizard Behind Harry Potter",4
"Ronna","The Illustrated Dream Dictionary",4
"Muna","Silence of the Lambs",4
"Katleen","Camelot Caper",4
"Jeanine","The Bridges of Madison County",1
"Bassam","Waking the Moon",2
"Jaylynn","Postmortem",5
"Greg","The Pelican Brief",2
"Karra","Four Corners of Night",4
"Gertrude","The Dark Half",4
"Kindra","Brothers Karamazov",5
"Jafet","Pagan Babies",4
"Nicole","Contagion",4
"Autry","Phantom Tollbooth",4
"Raiden","Der Vogel ist ein Rabe",3
"Mamadou","I Know This Much Is True",4
"Mozelle","Schiffbruch mit Tiger.",4
"Brent","9 Steps to Financial Freedom: Practical and Spiritual Steps So You Can Stop Worrying",5
"Meredith","Harmful Intent",2
"Calvin","Mary, Called Magdalene",3
"Jerrica","The First Counsel",3
"Petrice","Too Close to the Falls",5
"Kingston","A Confederacy of Dunces",4
"Edgar","Best School Year Ever",2
"Gaye","The Best Laid Plans",4
"Payten","The Diary of a Teenage Health Freak",4
"James","Twilight at Mac\'s Place",1
"Capone","Rose\'s Garden",3
"Cutter","U.S.S. Seawolf",4
"Lonnie","Incriminating Evidence",4
"Janee","The Accidental Tourist",4
"Rosemary","Three Plays: Blithe Spirit/Hay Fever/Private Lives",5
"Eula","The House of the Spirits",4
"Caitlynn","Melancholie Der Ankunft",4
"Shakur","Every Move She Makes",4
"Rosie","Scent of Danger",5
"Tayvon","Lost Light",4
"Florentine","Johnny Got His Gun",5
"Indy","Last Orders",2
"Rollin","Faking It",4
"Corbett","Good in Bed",5
"Joniel","Truth, The",4
"Jeff","Midnight in the Garden of Good and Evil: A Savannah Story",4
"Cendy","Wild Animus",1
"Cindi","Understanding Your Personality",2
"Joylynn","Taltos: Lives of the Mayfair Witches",3
"Dain","Once upon a More Enlightened Time: More Politically Correct Bedtime Stories",3
"Brittainy","Born in Fire",4
"Eino","Honor Among Thieves",4
"Ella","What You Wish for",3
"Madelon","The Ultimate Weight Solution: The 7 Keys to Weight Loss Freedom",2
"Jermain","The First Victim",3
"Ray","Fantastic Voyage II: Destination Brain",3
"Jack","Politically, Fashionably, and Aerodynamically Incorrect: The First Outland Collection",2
"William","Brat Farrar",4
"Tanna","Moviegoer",4
"Steve","McNally\'s Dilemma",4
"Bobbe","Burnt Sienna",2
"Christ","A Place Called Freedom",2
"Dewitt","The Parrot Who Owns Me: The Story of a Relationship",4
"Paulmichael","Powers: Who Killed Retro Girl?",4
"Jimmie","Fast Women",4
"Mark","The Persian Boy",4
"Deloise","Trotz alledem: Verschenktexte",4
"Nellie","A Tidewater Morning: Three Tales from Youth",2
"Tawanna","All the Way Home",4
"Maxine","The Da Vinci Code",4
"Deneen","Good in Bed",3
"Tanda","BEST AMERICAN POETRY 1994",3
"Maleeah","Le portrait de Dorian Gray",2
"Kylan","When Bad Things Happen to Good People",1
"Carmela","The Kitchen God\'s Wife",4
"Jvion","Cats In Cyberspace",5
"James","Without Feathers",3
"Coralie","Trading Places",5
"Dekayla","Coal: A Human History",2
"Evangelina","The Donovan Legacy",4
"Elsworth","The Wasp Factory",4
"Rylie","The Explorabook: A Kid\'s Science Museum in a Book",5
"Quran","On Rue Tatin: Living and Cooking in a French Town",4
"Echo","Balzac and the Little Chinese Seamstress",4
"Autum","Some Girls Do",4
"Micah","The Town House",5
"Hampton","Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right",5
"Dejanay","Puerto Vallarta Squeeze",2
"Tommy","Nine Parts of Desire: The Hidden World of Islamic Women",3
"Jahiem","The Complete Candlemaker: Techniques, Projects, and Inspirations",5
"Virgie","Calling Romeo",3
"Nancy","Tell Me Your Dreams",2
"Terri","Tallulahland",2
"Dottie","Life Strategies: Doing What Works, Doing What Matters",2
"Deric","Hideaway",5
"Romaine","Black Notice",4
"Franky","Shadowfires",4
"Romain","Sister India",3
"Sora","Deep Fathom",4
"Izabelle","The Highly Sensitive Person: How to Thrive When the World Overwhelms You",4
"Junior","Chicken Soup for the Nurse\'s Soul: 101 Stories to Celebrate, Honor and Inspire the Nursing Profession",5
"Jeanne","Piercing the Darkness",4
"Santiago","High Maintenance",2
"Kadiatou","Narcissus and Goldmund",4
"Dylin","Zodiac: The Eco-Thriller",4
"Demari","Embraced by the Light",2
"Dixie","Jackdaws",4
"Brett","The Bad Place",3
"Jeremie","Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life",5
"Enriqueta","The Stand: Complete and Uncut",2
"Sophronia","Eternity Road",2
"Andrey","Bridget Jones Sobrevivre/Edge of Reason",5
"Katya","A People\'s History of the United States: 1492-Present",4
"Lorraine","Good in Bed",4
"Demetress","The Accidental Virgin",1
"Terrence","Texas Heat",4
"Patricia","The Road to Avalon",4
"Emily","The Firm",3
"Daisey","Once in a Lifetime",3
"Anaijah","Wrong Rooms: A Memoir",3
"Dakota","The Silken Web",4
"Carol","The Persian Pickle Club",4
"Baby","Murder Among Friends",4
"Mary","Tell Me Your Dreams",3
"Tylen","Pretty Boy Floyd",4
"Jarian","Triumphant the Gates of Hell Cannot Have Me",2
"Travis","Mr. Perfect",3
"Paul","The Cat Who Lived High",4
"Cintia","Midnight in the Garden of Good and Evil: A Savannah Story",4
"Kaylin","What to Expect When You\'re Expecting, Third Edition",5
"Agatha","Voice of the Eagle",4
"Ann","Menopaws: The Silent Meow",5
"Matilda","Private Screening",4
"Gayla","Breach of Promise",4
"Jacqueline","Das Urteil.",4
"Maryland","Wild Animus",1
"James","Of Love and Shadows",1
"Mary","The Four Loves",4
"Vida","Bleachers",4
"Darlina","How to Say It: Choice Words, Phrases, Sentences, and Paragraphs for Every Situation",2
"Johanna","Kissing the Witch: Old Tales in New Skins",3
"Eulas","The Smoke Jumper",4
"Dontavious","Le Petit Sauvage",5
"William","The Cat Who Wasn\'t There",3
"Brianna","Lemony Snicket: The Unauthorized Autobiography",2
"Annalyse","Dancing with mules",2
"Evangeline","Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",3
"Amelia","We the Living",4
"Gwenyth","Mirror Image",4
"Sigrid","The Gripping Hand",4
"Annie","The Sexual Life of Catherine M.",2
"Stewart","Snow Mountain Passage",3
"Sarah","Died to Match",4
"Estefany","Bridge to Terabithia",5
"Unique","Killashandra",4
"Delorse","Dragons of Summer Flame",3
"Glenola","Bel Canto",5
"Anastasia","Killing Floor",4
"Raegan","Die Taube",4
"Jack","The Diary of Ellen Rimbauer: My Life at Rose Red",1
"Zaiah","Prehistory of the Far Side",4
"Hady","No Comebacks",1
"Myers","How to Choose the Sex of Your Baby: The Method Best Supported by Scientific Evidence",4
"Damion","Criminal Justice",2
"Jaslene","One White Rose",2
"Paulo","The Wolf and the Dove",4
"Rhyan","Hollywood Wives - The New Generation",3
"Rosie","The Night Before",5
"Bobby","From Chaos to Life",5
"Canaan","The Cat Who Came to Breakfast",3
"Kelly","The Feminine Mystique",5
"Lillian","Shadow Walker",4
"Howard","Sunglasses After Dark",3
"William","Shinju",3
"Aamina","Between Silk and Cyanide: A Codemaker\'s War, 1941-1945",4
"Jimmie","N Is for Noose",3
"Theodore","Bookends",4
"Zaylie","The Little Friend",4
"Dasean","The Pelican Brief",3
"Tal","The House Next Door",4
"Breanne","How to Make an American Quilt",3
"John","The Fling",4
"Lillyanna","Poems That Touch the Heart",2
"Pansy","Ring of Truth",3
"Allen","Maus a Survivors Tale: My Father Bleeds History",4
"Dale","Chymical Wedding",3
"Philippe","Mutant Message Down Under",4
"Delos","Black House",3
"James","Housekeeping",2
"Nathan","Immortal in Death",4
"Stacey","North of Montana",4
"Iziah","Geek Love",4
"Liddie","Faking It",4
"Henrik","Neverwhere",4
"Natalia","Schoolgirls: Young Women, Self-Esteem, and the Confidence Gap",3
"Gerard","Grave Secrets",3
"Chelsea","Larry\'s Party",4
"Kemora","A Simple Plan",2
"Bobby","A Dictionary Of Dream Symbols: With An Introduction To Dream Psychology",3
"Marci","Bitter Medicine",3
"Danny","Interpreter of Maladies",4
"Barney","The Years of Rice and Salt",3
"Breckin","Good in Bed",3
"Charles","Patchwork Planet Uk Edition",3
"Zaniyah","Second Wind",4
"Beatrice","Reliquary",4
"Patricia","Seduced by a Rogue",4
"Chip","Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time",4
"Gabbrielle","Life Strategies: Doing What Works, Doing What Matters",2
"Edwin","State of the Art",4
"Kenyatta","Magic or Not?",5
"Kaliyah","Cooking With Friends",3
"Marvette","Sex With a Mountain Bike and Other Stories",3
"Ulysses","Soft!",3
"Deon","The Right to Write: An Invitation and Initiation into the Writing Life",5
"Charles","Picture This",4
"Edmond","The Experiment",1
"Phyliss","Black Like Me",4
"Shadd","Unbearable Lightness of Being",4
"Valarie","Blue Highways: A Journey into America",4
"Blinda","Purple Cow: Transform Your Business by Being Remarkable",3
"Nelwyn","Lady Chatterley\'s Lover: Complete and Unexpurgated 1928 Orioli Edition",3
"Aishwarya","The Summons",4
"Pavel","Die Unertragliche Leichtigkeit des Seins...The Unbearable Lightness of Being",2
"Dedrick","The Green Mile",5
"Amina","Wild Animus",1
"Christal","The Kingdom by the Sea: A Journey Around the Coast of Great Britain",2
"Cora","Firewall",2
"Synthia","Inkheart",4
"Kenyana","Turbulence",3
"Glade","The A.B.C. Murders",4
"Samaad","Snap Happy",3
"Yahya","Wicked: The Life and Times of the Wicked Witch of the West",4
"David","Four In Hand",2
"Bradley","The House on Hope Street",3
"Heidi","Crooked Little Heart",3
"Evelyne","The Firm",2
"Alyson","Bastard Out of Carolina",5
"Malaika","The Gangs of New York: An Informal History of the Underworld",3
"Alexio","Beaming Sonny Home",2
"Caileigh","Obstruction of Justice",4
"Delphia","Dark Prince",4
"Kelly","The Passionate Eye: The Collected Writing of Suzanne Vega",3
"Peggie","Prozac Diary",3
"Catherine","Rose Madder",4
"Camilla","The Kingdom by the Sea: A Journey Around the Coast of Great Britain",5
"Obrian","Satellite Sisters\' Uncommon Senses",5
"Marcella","Other Worlds",4
"Jacquelene","Portrait of a Killer: Jack the Ripper -- Case Closed",1
"Kathryn","The Raggy Boy Trilogy",4
"Jacqueline","Das Erbe.",3
"Wayne","The Making of The African Queen",4
"Nissi","A Prayer for Owen Meany",4
"Virginia","El perfume",4
"Ali","I\'M Not Anti-Business, I\'M Anti-Idiot-Dilbert",5
"Citlaly","Mirror Image",4
"Jamia","Infinity Beach",3
"Shailey","Fly Fishing Through The Midlife Crisis",4
"Lorene","Cold Iron",4
"Douglas","The Bone People",4
"Shantae","The Perks of Being a Wallflower",1
"Neoma","Messie No More",1
"Maria","I Is for Innocent",4
"Drue","Again The Magic",3
"Unknown","The Da Vinci Code",4
"Delwin","The Deception",3
"Damere","The Horse Whisperer",4
"Leilanie","The Greatest Show Off Earth",3
"Curran","The Brethren",4
"Brian","The Lincoln Conspiracy",2
"Keleigh","Living Deliberately: The Discovery and Development of Avatar",4
"Byron","A Child Called ""It"": One Child\'s Courage to Survive",4
"Leilah","The Cabinet of Curiosities",4
"Alexis","How Stella Got Her Groove Back",4
"Dennis","Putting on the Ritz",5
"Britt","Return to the Chateau: Preceded By, a Girl in Love",3
"Richard","The Night Crew",3
"Levone","Dead Sleep",4
"Leyna","Linked: How Everything Is Connected to Everything Else and What It Means",5
"James","Lost Highways",5
"Clemens","A Year in Provence",3
"Pluma","Bridget Jones\'s Diary",3
"Milo","Don\'t Know Much About Geography: Everything You Need to Know About the World but Never Learned",4
"Thomas","The House That Jack Built",4
"Alan","Amarantha",4
"Precious","Ladder of Years",4
"Ollie","Mrs. Piggle-Wiggle\'s Magic",5
"Erwin","Walking Taylor Home",4
"Izaac","The Inn at Lake Devine",3
"Conor","Dunkle Kammern.",2
"Baylee","Penn and Teller\'s Cruel Tricks for Dear Friends / Book and Trick Packet",3
"Beatrix","Sacred Sins",3
"Georgiana","Cause of Death",3
"Calven","Vineland",4
"Levi","The Night Crew",3
"Barry","Always in My Heart",4
"Sally","All Things Bright and Beautiful",4
"Clelia","Island in My Pocket",4
"Erick","It\'S Obvious You Won\'T Survive By Your Wits Alone",2
"Ayden","Broca\'s Brain",4
"Don","Bee Season",3
"Evan","First Avenue",4
"Guadalupe","Big Stone Gap",3
"Colby","The Rules of Attraction",3
"Notnamed","The Temple of My Familiar",3
"Ouida","The Great and Secret Show",2
"Dorina","Primavera",3
"Eldred","Loving Jessie",3
"Christene","Code to Zero",3
"Gearold","The Eye of the Tiger",3
"Ramiro","Thousand Cranes",5
"Resha","Choke",3
"Landon","Crystal Line",4
"Raphaella","The Summons",4
"Divine","Tidings of Great Joy",4
"Merriam","The Christmas Train",5
"Heather","All the Way Home",3
"Vivianne","Black Like Me",5
"Alfonso","Salem\'s Lot",3
"Felice","The Hanging Garden",4
"Jon","Mind Prey",5
"Kyra","Delta Of Venus",3
"Judith","The Five People You Meet in Heaven",5
"Ruth","The Twilight Before Christmas",5
"Bernadette","Isle of Dogs",1
"Angela","Trevayne",4
"Lorraine","Geek Love",4
"Glenda","The Physics of Star Trek",3
"Eliora","The Psychologist\'s Book of Self-Tests: 25 Love, Sex, Intelligence, Career, and Personality Tests Developed by Professionals to Reveal the Real You",4
"Gill","The New Fit or Fat",3
"Martin","When the Wind Blows",4
"Mitchel","Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",2
"Sampson","An Underachiever\'s Diary",3
"Josephine","The Amazing Maurice and His Educated Rodents",4
"Huey","The Tommyknockers",3
"Nadine","LA Part Des Tenebres/the Dark Half",3
"Brooklynn","Killing Orders",3
"Ichael","Schachnovelle",3
"Madissen","A Woman Betrayed",4
"Aerial","Dragon Bones",2
"Leslie","The Client",5
"Perrin","Her Own Rules",4
"Terrie","Phule Me Twice",3
"Jennifer","Animalia Midi",5
"James","More Than Friends",2
"John","Deryni Tales",4
"Marilee","Animal Farm",5
"John","Passing Through Paradise",4
"Kelen","Hot Night in the City",4
"Mindy","Olivia Saves the Circus",5
"Jefferson","The Woman Next Door",3
"Freeman","Un sac de billes",3
"Larence","The Broke Diaries: The Completely True and Hilarious Misadventures of a Good Girl Gone Broke",4
"Dynasty","Rubyfruit Jungle",4
"Jeron","The Diaries of Adam and Eve",4
"Liticia","In the Eye of the Storm: The Life of General H. Norman Schwarzkopf",4
"Jackson","I\'M Not Anti-Business, I\'M Anti-Idiot-Dilbert",4
"Katy","Black Sand",5
"Jillian","A Little Class on Murder",3
"Roy","Tipping the Velvet",3
"Holly","The Lorax",5
"James","A Theory of Relativity",3
"Yolande","Atlantis Found",2
"Michelle","The Hearing",2
"Alexis","I Is for Innocent",3
"Araina","Half Asleep in Frog Pajamas",2
"Marcus","May Week Was In June",4
"Amira","Rising Tides",4
"Jaquavious","Sabbath\'s Theater",3
"Donald","Rosemary\'s Baby",4
"Manley","Wicked: The Life and Times of the Wicked Witch of the West",4
"Emilee","Tony and Me: By George Bush, as Told to",4
"Exa","Les fourmis: Roman",4
"Jonnie","Das Lazaruskind.",2
"Lulu","Two for the Dough",5
"Shayan","The Visitation",4
"Petrina","The Brothers of Gwynedd: Comprising, Sunrise in the West, the Dragon at Noonday, the Hounds of Sunset, Afterglow and Nightfall",4
"James","The Boathouse",3
"Brystal","Reservation Blues",2
"Dorothy","The Vampire Papers",3
"Rosalena","How to Be a Canadian: Even If You Already are One",4
"Carmelita","Immoral Certainty",4
"Kaleb","The Falls",4
"Willetta","Blue Bayou",2
"Elvira","La Doctora Cole",2
"Philipe","With Song",2
"Holden","Reservation Road",3
"Jane","A Catskill Eagle",5
"Kent","Friendship Cake",2
"Cadence","Stone Butch Blues",4
"Jovany","The Alchemist: A Fable About Following Your Dream",3
"Alisha","Lie Down With Lions",2
"Margo","Subterraneans",3
"Kale","Blood Trail",4
"Aisa","The Outside Man",4
"Grace","Certain Prey",4
"Rhiley","A Bright Shining Lie: John Paul Vann and America in Vietnam",4
"Altonio","High Tide in Tucson: Essays from Now or Never",2
"Maleah","New Attitude",4
"Nicholas","French Silk",4
"Marlin","Two for the Dough",4
"Twanna","Chthon",2
"Shereen","A Place Called Rainwater",2
"Lakendra","Orchid Beach",3
"Christopher","A Density of Souls",2
"Efe","Maze: Solve the World\'s Most Challenging Puzzle",4
"Ethel","Lion in the Valley",4
"Edith","The Body Farm",3
"Clair","Lamour Aux Temps Du Cholera",3
"Jerod","How to be good.",5
"Tomasita","Cause of Death",4
"Joel","Miss Julia Takes over",2
"Victor","Notes from a Small Island",5
"Zuly","Fugitive Pieces",3
"Anthony","I Purr, Therefore I Am: Never Before Collected Observations on All Things Cat",3
"Ata","This House of Sky: Landscapes of a Western Mind",3
"Lucia","Meet the Stars of Buffy the Vampire Slayer",2
"Emmy","Toons for Our Times: A Bloom County Book of Heavy Metal Rump \'N Roll",4
"Alan","Amy\'s Answering Machine: Messages from Mom",4
"Milan","I Know This Much Is True",2
"Trevin","Singin and Swingin and Gettin Merry Like Chr",5
"Kelsey","Last Orders",5
"Daytona","Adressat unbekannt.",5
"Marjorie","Total Control",4
"Gordon","Recruited: An Alias Prequel",3
"Leoma","The Hunt for Red October",4
"Delpha","The Perks of Being a Wallflower",3
"Mable","The Green Mile",3
"Juan","One Night for Love",4
"Rennee","No Kidding",5
"Nakita","A Literary Murder",4
"Shayna","Mutant Message Down Under",4
"Rona","Pop Goes the Weasel",4
"Ladawn","Animal Dreams",3
"Selah","The Door to December",4
"Christopher","One White Rose",2
"Kylia","Wild Animus",3
"Marla","The Magic School Bus Inside a Beehive",5
"Warner","The Reluctant Suitor",4
"Roslyn","The Philosophy of Andy Warhol",4
"Katelyn","Being Dead",3
"Peggy","Middle of Nowhere",4
"Erick","Yukon Ho!",4
"Sanai","Critical Judgment",4
"Sabina","Das Silmarrion",4
"Eular","Only Forward",3
"Falisha","Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",3
"Raymond","The Nurse\'s Story",2
"Barbara","Whatever Love Means",4
"Jhovany","Tekwar",5
"Mildred","Wanted Words: From Amalgamots to Undercarments - Language Gaps Found and Fixed",2
"James","Grand Cahier",5
"Gwen","Todesmarsch. Roman.",3
"Tavon","Why Your Life Sucks:  And What You Can Do About It",4
"Charles","The Three Musketeers",4
"Chanelle","The Proper Care and Feeding of Husbands",5
"Erin","Chosen Prey",2
"Chloe","Gathering Lies",3
"Kaydyn","Last Breath",4
"Chad","Breaking the Surface",4
"Reeva","The Other Side of Midnight",3
"Jessicia","The Wild One",3
"Anthony","The Matlock Paper",4
"Cecilia","Murder on the Lusitania",3
"Jaimie","A Certain Smile",2
"Tamisha","Affinity",2
"Noell","Ich wollte Hosen.",3
"Eunice","The Eyes of the Dragon",3
"Ulises","Masters of Midnight",3
"Ajene","The Door to December",3
"Benjamin","Mr. Bridge",4
"Desirae","The Basque History of the World",4
"Kent","Keeping Secrets",4
"James","Book Lust: Recommended Reading for Every Mood, Moment, and Reason",3
"Catherine","The Bear and the Dragon",4
"Cynthia","A Little Help from Above",3
"Nyomi","Best School Year Ever",4
"Mary","When You Look Like Your Passport Photo, It\'s Time to Go Home",3
"Coty","A Girl of the Limberlost",3
"Sierra","The Book of Guys: Stories",3
"Xandra","Clay\'s Ark",3
"Colt","Beyond Seduction",4
"Winona","Dogs That Know When Their Owners Are Coming Home: And Other Unexplained Powers of Animals",5
"Cally","She\'s Gonna Blow!: Real Help for Moms Dealing With Anger",4
"Perley","The Deep End of the Ocean",5
"Madyson","Rush Limbaugh Is a Big Fat Idiot: And Other Observations",3
"Susie","Against the Wind",4
"Lorrie","Hearts In Atlantis",3
"Lawernce","The Secret Life of Bees",3
"Garry","Sister of My Heart",5
"Mamie","A Share in Death",3
"Arley","Love Invents Us",4
"Messiah","The Five People You Meet in Heaven",4
"Tarah","Baghdad Without a Map: And Other Misadventures in Arabia",4
"Brownie","Dark Lord of Derkholm",3
"Omarr","Motherhood: The Second Oldest Profession",4
"James","Lakota Woman",4
"Deneisha","Black Hawk Down: A Story of Modern War",4
"Pamela","Southern Discomfort",4
"Raelyn","The Accidental Tourist",3
"John","Reunion in Death",4
"Shawnna","Crooked River Burning",1
"Arely","A Tangled Web",3
"Kail","A Game Of Chance",3
"Yanitza","Ethan of Athos",5
"Pamela","Silence in Hanover Close",3
"Liam","Generation Warriors",4
"John","How To Meet Cute Boys",5
"Matilde","Cheaper by the Dozen",4
"Corrine","Quincunx",4
"Salena","Phantom in Rot.",3
"Mischelle","Outfoxed",2
"Rosalind","Suicide Blonde",1
"Latausha","Group: Six People in Search of a Life",3
"Francis","Ralph\'s Party",4
"Leah","In the Bedroom",4
"Summer","Mike Nelson\'s Mind over Matters",2
"Christopher","Portrait in Death",2
"Geraline","The Magic of Thinking Big",4
"Minda","Dolce Agonia",5
"Bennett","Take Care of Yourself: The Complete Illustrated Guide to Medical Self-Care",5
"Yanely","Bookends",3
"Fannie","The Brethren",4
"Fern","Voice of the Blood",2
"Fae","Auntie Mame: An Irreverent Escapade",4
"Lindbergh","Kiss the Girls and Make Them Spy: An Original Jane Bond Parody",4
"Davie","Half Asleep in Frog Pajamas",1
"Celso","The Cat Who Brought Down the House",4
"Melodie","Elfstones of Shannara",2
"Terra","The Five People You Meet in Heaven",3
"Michael","Miss Julia Throws a Wedding",4
"Mckynzie","Hello from Heaven!",3
"Barry","Wild About You",4
"Ernest","Yukon Ho!",5
"Leonard","The Mothman Prophecies",1
"Heavan","Mainline",4
"Alfonzo","Anything Considered",3
"Ammon","The Secret Life of Bees",4
"Aurore","Venusneid.",4
"Lamonta","The SEA HUNTERS",3
"Maggie","Princess Bride",5
"Duwan","Memorie Di una Geisha / Memoires of a Geisha",4
"Tyron","Empires of Sand",3
"Skylor","Good to Great: Why Some Companies Make the Leap... and Others Don\'t",4
"Kindell","Almas Gemelas",4
"Blossom","Hook Man Speaks",5
"Bonita","The Lust Lizard of Melancholy Cove",4
"Virgil","The Grilling Season",4
"James","Fatal Voyage",5
"Onesimo","The Sunday Tertulia",3
"Leopoldo","Eats, Shoots and Leaves: The Zero Tolerance Approach to Punctuation",5
"Blain","Wish List",3
"Marcell","A Painted House",4
"Verna","Model Patient: My Life As an Incurable Wise-Ass",2
"Jacklyn","The Mother-Daughter Book Club: How Ten Busy Mothers and Daughters Came Together to Talk, Laugh and Learn Through Their Love of Reading",5
"Adair","The Temple of My Familiar",3
"Angel","Still Me",4
"Austin","Wild Animus",3
"Aron","The Ultimate Dragon",3
"Suzan","The Girls\' Guide to Hunting and Fishing",3
"Alexis","Personal Velocity",3
"Kurt","Almost Innocent",3
"Francella","Cracking Da Vinci\'s Code: You\'ve Read the Fiction, Now Read the Facts",4
"Dustin","The Prince of Tides",4
"Thomas","The Patient\'s Eyes: The Dark Beginnings of Sherlock Holmes",5
"Christy","Lost Boys",5
"Selvin","The Bridges of Madison County",2
"Wellington","A Summer Place",2
"Justin","A Holiday Of Love",4
"Fiona","Westing Game",4
"Carol","The Best Cat Ever",3
